sample_set,from,to,presence
2_2,caramelized sugar,musty,0
2_2,caramelized sugar,caramelized sugar,1
2_2,caramelized sugar,caramel,1
2_2,caramelized sugar,flowers,1
2_2,caramelized sugar,sweetness,1
2_2,caramelized sugar,peach,1
2_2,caramel,tobacco,0
2_2,caramel,mineral,0
2_2,caramel,mouth-drying,0
2_2,caramel,spice,0
2_2,caramel,smoky,0
2_2,caramel,savory,0
2_2,caramel,total acidity,0
2_2,caramel,over-fermented,0
2_2,caramel,off-flavors,0
2_2,caramel,mouldy,0
2_2,caramel,musty,0
2_2,caramel,caramelized sugar,1
2_2,caramel,caramel,1
2_2,caramel,flowers,1
2_2,caramel,sweetness,1
2_2,caramel,peach,1
2_2,flowers,tobacco,0
2_2,flowers,mineral,0
2_2,flowers,mouth-drying,0
2_2,flowers,spice,0
2_2,flowers,smoky,0
2_2,flowers,savory,0
2_2,flowers,total acidity,0
2_2,flowers,over-fermented,0
2_2,flowers,off-flavors,0
2_2,flowers,mouldy,0
2_2,flowers,musty,0
2_2,flowers,caramelized sugar,1
2_2,flowers,caramel,1
2_2,flowers,flowers,1
2_2,flowers,sweetness,1
2_2,flowers,peach,1
2_2,sweetness,tobacco,0
2_2,sweetness,mineral,0
2_2,sweetness,mouth-drying,0
2_2,sweetness,spice,0
2_2,sweetness,smoky,0
2_2,sweetness,savory,0
2_2,sweetness,total acidity,0
2_2,sweetness,over-fermented,0
2_2,sweetness,off-flavors,0
2_2,sweetness,mouldy,0
2_2,sweetness,musty,0
2_2,sweetness,caramelized sugar,1
2_2,sweetness,caramel,1
2_2,sweetness,flowers,1
2_2,sweetness,sweetness,1
2_2,sweetness,peach,1
2_2,peach,tobacco,0
2_2,peach,mineral,0
2_2,peach,mouth-drying,0
2_2,peach,spice,0
2_2,peach,smoky,0
2_2,peach,savory,0
2_2,peach,total acidity,0
2_2,peach,over-fermented,0
2_2,peach,off-flavors,0
2_2,peach,mouldy,0
2_2,peach,musty,0
2_2,peach,caramelized sugar,1
2_2,peach,caramel,1
2_2,peach,flowers,1
2_2,peach,sweetness,1
2_2,peach,peach,1
3_2,bitterness,bitterness,1
3_2,bitterness,mouth-drying,1
3_2,bitterness,mushroom,1
3_2,bitterness,dusty,1
3_2,bitterness,off-flavors,1
3_2,bitterness,resin,1
3_2,bitterness,peach,0
3_2,bitterness,over ripe,0
3_2,bitterness,brown sugar,0
3_2,bitterness,floral,0
3_2,bitterness,dark wood,0
3_2,bitterness,tobacco,0
3_2,bitterness,light wood,0
3_2,bitterness,spices,0
3_2,bitterness,umami,0
3_2,bitterness,savory,0
3_2,mouth-drying,bitterness,1
3_2,mouth-drying,mouth-drying,1
3_2,mouth-drying,mushroom,1
3_2,mouth-drying,dusty,1
3_2,mouth-drying,off-flavors,1
3_2,mouth-drying,resin,1
3_2,mouth-drying,peach,0
3_2,mouth-drying,over ripe,0
3_2,mouth-drying,brown sugar,0
3_2,mouth-drying,floral,0
3_2,mouth-drying,dark wood,0
3_2,mouth-drying,tobacco,0
3_2,mouth-drying,light wood,0
3_2,mouth-drying,spices,0
3_2,mouth-drying,umami,0
3_2,mouth-drying,savory,0
3_2,mushroom,bitterness,1
3_2,mushroom,mouth-drying,1
3_2,mushroom,mushroom,1
3_2,mushroom,dusty,1
3_2,mushroom,off-flavors,1
3_2,mushroom,resin,1
3_2,mushroom,peach,0
3_2,mushroom,over ripe,0
3_2,mushroom,brown sugar,0
3_2,mushroom,floral,0
3_2,mushroom,dark wood,0
3_2,mushroom,tobacco,0
3_2,mushroom,light wood,0
3_2,mushroom,spices,0
3_2,mushroom,umami,0
3_2,mushroom,savory,0
3_2,dusty,bitterness,1
3_2,dusty,mouth-drying,1
3_2,dusty,mushroom,1
3_2,dusty,dusty,1
3_2,dusty,off-flavors,1
3_2,dusty,resin,1
3_2,dusty,peach,0
3_2,dusty,over ripe,0
3_2,dusty,brown sugar,0
3_2,dusty,floral,0
3_2,dusty,dark wood,0
3_2,dusty,tobacco,0
3_2,dusty,light wood,0
3_2,dusty,spices,0
3_2,dusty,umami,0
3_2,dusty,savory,0
3_2,off-flavors,bitterness,1
3_2,off-flavors,mouth-drying,1
3_2,off-flavors,mushroom,1
3_2,off-flavors,dusty,1
3_2,off-flavors,off-flavors,1
3_2,off-flavors,resin,1
3_2,off-flavors,peach,0
3_2,off-flavors,over ripe,0
3_2,off-flavors,brown sugar,0
3_2,off-flavors,floral,0
3_2,off-flavors,dark wood,0
3_2,off-flavors,tobacco,0
3_2,off-flavors,light wood,0
3_2,off-flavors,spices,0
3_2,off-flavors,umami,0
3_2,off-flavors,savory,0
3_2,resin,bitterness,1
3_2,resin,mouth-drying,1
3_2,resin,mushroom,1
3_2,resin,dusty,1
3_2,resin,off-flavors,1
3_2,resin,resin,1
3_2,resin,peach,0
3_2,resin,over ripe,0
3_2,resin,brown sugar,0
3_2,resin,floral,0
3_2,resin,dark wood,0
3_2,resin,tobacco,0
3_2,resin,light wood,0
3_2,resin,spices,0
3_2,resin,umami,0
3_2,resin,savory,0
3_2,peach,bitterness,0
3_2,peach,mouth-drying,0
3_2,peach,mushroom,0
3_2,peach,dusty,0
3_2,peach,off-flavors,0
3_2,peach,resin,0
3_2,peach,peach,1
3_2,peach,over ripe,1
3_2,peach,brown sugar,1
3_2,peach,floral,0
3_2,peach,dark wood,0
3_2,peach,tobacco,0
3_2,peach,light wood,0
3_2,peach,spices,0
3_2,peach,umami,0
3_2,peach,savory,0
3_2,over ripe,bitterness,0
3_2,over ripe,mouth-drying,0
3_2,over ripe,mushroom,0
3_2,over ripe,dusty,0
3_2,over ripe,off-flavors,0
3_2,over ripe,resin,0
3_2,over ripe,peach,1
3_2,over ripe,over ripe,1
3_2,over ripe,brown sugar,1
3_2,over ripe,floral,0
3_2,over ripe,dark wood,0
3_2,over ripe,tobacco,0
3_2,over ripe,light wood,0
3_2,over ripe,spices,0
3_2,over ripe,umami,0
3_2,over ripe,savory,0
3_2,brown sugar,bitterness,0
